DocNumber;DocType;GLDate;BusinessUnit;ObjectAccount;Amount;Currency;Reference;EmployeeNo;Description;Status
990010;RI;2026-08-05;1300;41300;19500.00;TRY;PMS-180078;P1010;Pavillon Standart;POSTED
990062;RI;2026-08-08;1100;41100;2200.00;TRY;PMS-180083;P1002;Hamam Paketi;POSTED
990028;RI;2026-08-21;1100;41200;1500.00;TRY;PMS-180048;P1012;A la Carte Italian;POSTED
990001;RI;2026-08-26;1200;41400;9000.00;TRY;PMS-180113;P1008;Buggy Günlük;POSTED
990013;RI;2026-08-18;1200;41400;13500.00;TRY;PMS-180108;P1008;Buggy Günlük;POSTED
990078;RI;2026-08-25;1400;41100;2200.00;TRY;;P1003;Hamam Paketi;POSTED
990055;RI;2026-08-28;1300;41100;3900.00;TRY;PMS-180061;P1011;SPA Masaj 90dk;POSTED
990030;RI;2026-08-19;1100;41200;3000.00;TRY;PMS-180100;P1012;A la Carte Italian;POSTED
990040;RI;2026-08-14;1200;41400;7500.00;TRY;PMS-180036;P1008;Buggy 4 Saat;POSTED
990051;RI;2026-08-19;1100;41400;2500.00;TRY;PMS-180069;P1007;Buggy 4 Saat;POSTED
990007;RI;2026-08-19;1100;41100;11700.00;TRY;PMS-180047;P1002;SPA Masaj 90dk;POSTED
990022;RI;2026-08-10;1200;41100;4400.00;TRY;PMS-180117;P1003;Hamam Paketi;POSTED
990048;RI;2026-08-26;1100;41400;4500.00;TRY;PMS-180075;P1007;Buggy Günlük;POSTED
990011;RI;2026-08-22;1300;41200;1500.00;TRY;PMS-180109;P1006;A la Carte Italian;POSTED
990033;RI;2026-08-07;1300;41200;2800.00;TRY;PMS-180030;P1006;A la Carte Turkish;POSTED
990047;RI;2026-08-16;1300;41300;6500.00;TRY;PMS-180022;P1010;Pavillon Standart;POSTED
990012;RI;2026-08-15;1100;41300;19500.00;TRY;PMS-180123;P1009;Pavillon Standart;POSTED
990036;RI;2026-08-12;1200;41100;7800.00;TRY;PMS-180159;P1003;SPA Masaj 90dk;POSTED
990021;RI;2026-08-14;1200;41100;3900.00;TRY;PMS-180030;P1003;SPA Masaj 90dk;POSTED
990039;RI;2026-08-06;1100;41200;3600.00;TRY;PMS-180037;P1004;A la Carte Fish;POSTED
990021;RI;2026-08-14;1200;41100;3900.00;TRY;PMS-180030;P1003;SPA Masaj 90dk;POSTED
990017;RI;2026-08-04;1100;41200;1400.00;TRY;PMS-180026;P1012;A la Carte Turkish;POSTED
990026;RI;2026-08-17;1100;41100;2200.00;TRY;PMS-180142;P1002;Hamam Paketi;POSTED
