FisNo;Tarih;Saat;OutletKodu;PLU;UrunAdi;Adet;BirimFiyat;ToplamTutar;SatisPersoneli;IadeMi;OdemeTipi;OdaNo
770166;2026-08-29;10:53;SPA01;5003;Masaj Ek 30dk;1;1200.00;1200.00;P1011;H;KREDI KARTI;2130
770165;2026-08-21;13:34;SPA01;5001;Aromaterapi Yağı;3;850.00;2550.00;P1001;H;NAKIT;253
770035;2026-08-20;14:29;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1012;H;NAKIT;1863
770082;2026-08-12;21:15;SPA01;5001;Aromaterapi Yağı;3;850.00;2550.00;P1011;H;KREDI KARTI;1268
770126;2026-08-09;20:35;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1004;H;KREDI KARTI;613
770151;2026-08-02;21:07;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1002;H;ODA;178
770051;2026-08-25;11:22;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1005;H;KREDI KARTI;555
770188;2026-08-25;14:29;ALC01;6001;Şarap Şişe;1;2400.00;2400.00;P1004;H;NAKIT;2331
770079;2026-08-28;18:49;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1003;H;NAKIT;2257
770099;2026-08-02;18:21;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1005;H;NAKIT;818
770078;2026-08-31;13:14;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1006;H;ODA;735
770153;2026-08-23;18:13;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;NAKIT;1432
770010;2026-08-20;20:48;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1005;H;NAKIT;661
770030;2026-08-16;22:23;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1001;H;NAKIT;547
770213;2026-08-25;14:29;ALC01;6001;Şarap Şişe;-1;2400.00;-2400.00;P1004;E;NAKIT;2331
770048;2026-08-06;14:46;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1010;H;KREDI KARTI;2425
770007;2026-08-04;16:36;BAR01;7001;Şampanya;1;4500.00;4500.00;P1010;H;KREDI KARTI;1312
770045;2026-08-01;14:44;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1003;H;KREDI KARTI;1492
770170;2026-08-01;15:50;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1005;H;KREDI KARTI;2426
770175;2026-08-22;17:19;ALC01;6001;Şarap Şişe;1;2400.00;2400.00;P1004;H;ODA;1761
770148;2026-08-14;14:50;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1004;H;NAKIT;210
770093;2026-08-04;13:19;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1011;H;ODA;296
770089;2026-08-13;15:15;BAR01;7001;Şampanya;3;4500.00;13500.00;P1009;H;KREDI KARTI;435
770131;2026-08-03;10:10;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1012;H;KREDI KARTI;1803
770135;2026-08-31;23:39;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1003;H;KREDI KARTI;1117
770095;2026-08-23;14:27;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1002;H;ODA;1546
770205;2026-08-18;22:18;BAR01;7001;Şampanya;2;4500.00;9000.00;P1009;H;KREDI KARTI;2010
770157;2026-08-16;18:59;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1010;H;NAKIT;1221
770043;2026-08-28;15:54;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;NAKIT;1606
770141;2026-08-19;13:23;BAR01;7001;Şampanya;3;4500.00;13500.00;P1009;H;NAKIT;1283
770115;2026-08-09;21:28;BAR01;7001;Şampanya;2;4500.00;9000.00;P1009;H;ODA;1270
770087;2026-08-03;14:28;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1003;H;NAKIT;704
770178;2026-08-25;20:48;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;NAKIT;436
770109;2026-08-09;22:03;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1012;H;ODA;1764
770107;2026-08-04;15:42;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1006;H;KREDI KARTI;1356
770127;2026-08-17;12:37;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1004;H;NAKIT;732
770031;2026-08-31;10:46;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1009;H;NAKIT;2236
770073;2026-08-11;18:43;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1004;H;KREDI KARTI;1264
770042;2026-08-12;19:32;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1006;H;ODA;734
770207;2026-08-25;13:23;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1011;H;KREDI KARTI;1796
770139;2026-08-10;10:54;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;ODA;1866
770139;2026-08-10;10:54;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;ODA;1866
770037;2026-08-29;16:21;BAR01;7001;Şampanya;1;4500.00;4500.00;P1010;H;KREDI KARTI;1734
770054;2026-08-04;17:47;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1006;H;KREDI KARTI;820
770189;2026-08-27;13:29;BAR01;7001;Şampanya;1;4500.00;4500.00;P1010;H;KREDI KARTI;736
770081;2026-08-27;22:39;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1002;H;ODA;1893
770184;2026-08-12;11:34;SPA01;5001;Aromaterapi Yağı;3;850.00;2550.00;P1011;H;ODA;383
770219;2026-08-19;;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;;H;NAKIT;220
770072;2026-08-13;22:21;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1006;H;NAKIT;315
770016;2026-08-22;20:16;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;NAKIT;1661
770012;2026-08-11;16:11;SPA01;5002;Cilt Bakım Seti;3;1900.00;5700.00;P1003;H;ODA;642
770070;2026-08-23;18:41;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1003;H;ODA;261
770156;2026-08-31;22:18;ALC01;6002;Özel Menü Upgrade;2;900.00;1800.00;P1005;H;NAKIT;950
770055;2026-08-18;13:32;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1011;H;NAKIT;1551
770059;2026-08-14;13:27;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1004;H;NAKIT;1741
770011;2026-08-10;10:37;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1001;H;KREDI KARTI;639
770194;2026-08-10;20:33;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1005;H;ODA;1794
770220;2026-08-23;19:05;ALC02;6003;Deniz Mahsülleri Tabağı;0;2100.00;0.00;P1005;H;ODA;1310
770167;2026-08-29;10:19;SPA01;5003;Masaj Ek 30dk;1;1200.00;1200.00;P1003;H;NAKIT;540
770085;2026-08-27;22:38;BAR01;7001;Şampanya;1;4500.00;4500.00;P1009;H;ODA;1125
770112;2026-08-20;20:28;BAR01;7001;Şampanya;1;4500.00;4500.00;P1009;H;KREDI KARTI;1624
770128;2026-08-27;10:52;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1003;H;ODA;433
770022;2026-08-23;13:28;ALC01;6002;Özel Menü Upgrade;2;900.00;1800.00;P1004;H;KREDI KARTI;1068
770044;2026-08-19;22:27;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1003;H;NAKIT;2381
770214;2026-08-24;13:44;ALC01;6001;Şarap Şişe;-2;2400.00;-4800.00;P1004;E;NAKIT;938
770015;2026-08-26;10:16;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1004;H;NAKIT;607
770122;2026-08-27;11:08;BAR01;7001;Şampanya;3;4500.00;13500.00;P1010;H;KREDI KARTI;404
770198;2026-08-28;14:54;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;NAKIT;692
770097;2026-08-13;10:40;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1001;H;KREDI KARTI;1630
770098;2026-08-12;15:15;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1004;H;NAKIT;525
770203;2026-08-07;14:58;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1012;H;ODA;968
770024;2026-08-09;11:54;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1011;H;KREDI KARTI;476
770009;2026-08-27;22:51;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1011;H;ODA;1544
770206;2026-08-09;18:56;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1006;H;KREDI KARTI;2009
770077;2026-08-17;10:23;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1011;H;KREDI KARTI;839
770058;2026-08-13;15:10;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1004;H;NAKIT;1985
770063;2026-08-07;19:09;SPA01;5003;Masaj Ek 30dk;1;1200.00;1200.00;P1003;H;NAKIT;409
770145;2026-08-23;22:30;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1002;H;NAKIT;1972
770118;2026-08-29;23:10;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1003;H;NAKIT;814
770104;2026-08-14;21:28;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1003;H;KREDI KARTI;1489
770165;2026-08-21;13:34;SPA01;5001;Aromaterapi Yağı;3;850.00;2550.00;P1001;H;NAKIT;253
770021;2026-08-29;20:06;BAR01;7001;Şampanya;2;4500.00;9000.00;P1009;H;KREDI KARTI;1772
770102;2026-08-27;17:16;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1012;H;ODA;883
770069;2026-08-20;18:09;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1006;H;ODA;1946
770091;2026-08-02;23:30;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1002;H;NAKIT;669
770065;2026-08-05;11:30;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1006;H;KREDI KARTI;1341
770181;2026-08-03;17:51;ALC01;6001;Şarap Şişe;3;2400.00;7200.00;P1012;H;ODA;1958
770208;2026-08-24;10:16;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1002;H;NAKIT;1811
770050;2026-08-22;17:38;ALC01;6002;Özel Menü Upgrade;2;900.00;1800.00;P1012;H;KREDI KARTI;1797
770062;2026-08-24;23:09;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1006;H;ODA;522
770009;2026-08-27;22:51;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1011;H;ODA;1544
770135;2026-08-31;23:39;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1003;H;KREDI KARTI;1117
770025;2026-08-02;13:08;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1004;H;NAKIT;941
770028;2026-08-05;15:50;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1001;H;ODA;1427
770046;2026-08-06;19:42;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1004;H;KREDI KARTI;386
770111;2026-08-03;22:41;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1002;H;KREDI KARTI;1584
770173;2026-08-01;16:15;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1005;H;KREDI KARTI;1194
770179;2026-08-03;11:03;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;NAKIT;2171
770129;2026-08-21;22:36;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1003;H;KREDI KARTI;225
770195;2026-08-02;19:56;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1006;H;NAKIT;818
770074;2026-08-11;19:42;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1005;H;ODA;1533
770138;2026-08-07;15:03;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1009;H;ODA;1253
770071;2026-08-15;18:39;ALC01;6001;Şarap Şişe;3;2400.00;7200.00;P1012;H;ODA;1591
770185;2026-08-10;12:49;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1009;H;ODA;1822
770136;2026-08-30;21:20;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1003;H;ODA;753
770201;2026-08-18;23:12;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1004;H;ODA;1200
770004;2026-08-15;14:29;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1002;H;KREDI KARTI;139
770222;2026-08-05;12:00;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1004;H;ODA;880
770142;2026-08-17;22:35;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1011;H;KREDI KARTI;587
770137;2026-08-16;17:01;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1010;H;ODA;1711
770140;2026-08-24;22:25;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1003;H;KREDI KARTI;286
770005;2026-08-22;12:04;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;KREDI KARTI;1516
770125;2026-08-06;21:14;ALC01;6002;Özel Menü Upgrade;2;900.00;1800.00;P1005;H;KREDI KARTI;2226
770169;2026-08-07;15:10;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1010;H;NAKIT;1980
770124;2026-08-17;23:07;SPA01;5003;Masaj Ek 30dk;1;1200.00;1200.00;P1011;H;NAKIT;727
770158;2026-08-19;18:24;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1004;H;KREDI KARTI;1514
770171;2026-08-20;16:52;ALC01;6001;Şarap Şişe;3;2400.00;7200.00;P1005;H;KREDI KARTI;2211
770164;2026-08-21;22:18;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1010;H;KREDI KARTI;1270
770159;2026-08-02;21:05;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1003;H;KREDI KARTI;1912
770016;2026-08-22;20:16;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;NAKIT;1661
770096;2026-08-06;20:05;ALC01;6001;Şarap Şişe;3;2400.00;7200.00;P1012;H;NAKIT;1578
770117;2026-08-26;23:20;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1009;H;NAKIT;1524
770130;2026-08-21;17:15;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1010;H;NAKIT;1764
770056;2026-08-28;10:27;SPA01;5002;Cilt Bakım Seti;3;1900.00;5700.00;P1011;H;ODA;1984
770003;2026-08-20;19:43;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1001;H;ODA;2139
770039;2026-08-03;23:05;SPA01;5003;Masaj Ek 30dk;1;1200.00;1200.00;P1011;H;ODA;1869
770182;2026-08-15;10:35;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1011;H;KREDI KARTI;1363
770018;2026-08-21;20:52;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1005;H;KREDI KARTI;1338
770060;2026-08-28;21:21;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1011;H;ODA;1465
770162;2026-08-21;10:06;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1002;H;KREDI KARTI;1453
770216;2026-08-28;20:56;SPA01;5002;Cilt Bakım Seti;-3;1900.00;-5700.00;P1001;E;NAKIT;981
770036;2026-08-28;20:56;SPA01;5002;Cilt Bakım Seti;3;1900.00;5700.00;P1001;H;NAKIT;981
770106;2026-08-03;19:52;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1011;H;ODA;2335
770002;2026-08-17;19:43;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1002;H;ODA;797
770196;2026-08-02;20:42;BAR01;7001;Şampanya;2;4500.00;9000.00;P1010;H;KREDI KARTI;2249
770013;2026-08-27;14:58;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1006;H;KREDI KARTI;1309
770172;2026-08-13;11:11;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1004;H;ODA;2056
770210;2026-08-09;21:41;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1010;H;NAKIT;2110
770020;2026-08-29;12:24;SPA01;5002;Cilt Bakım Seti;3;1900.00;5700.00;P1002;H;KREDI KARTI;1620
770217;2026-08-10;12:49;BAR01;7002;Meyve Tabağı;-2;600.00;-1200.00;P1009;E;ODA;1822
