BelgeNo;IslemTarihi;OdaNo;MisafirAdi;UrunKodu;UrunAdi;Adet;Tutar;ParaBirimi;KasiyerNo;IslemTipi;Otel
180101;2026-08-21;1080;Guest 5499;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1008;POSTING;GGR
180161;2026-08-06;1992;Guest 3977;SPA_MSJ90;SPA Masaj 90dk;1;-3900.00;TRY;P1011;REVERSAL;GVR
180095;2026-08-25;1842;Guest 4585;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1001;POSTING;GSR
180140;2026-08-11;590;Guest 9779;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1002;POSTING;GSR
180043;2026-08-07;675;Guest 7912;ALC_ITL;A la Carte Italian;4;6000.00;TRY;P1005;POSTING;GGR
180024;2026-08-22;2300;Guest 5371;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1004;POSTING;GSR
180098;2026-08-31;1913;Guest 9270;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1008;POSTING;GGR
180144;2026-08-02;324;Guest 5786;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1003;POSTING;GGR
180058;2026-08-30;398;Guest 1152;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180142;2026-08-04;896;Guest 5853;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1008;POSTING;GGR
180063;2026-08-29;2367;Guest 3546;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1004;POSTING;GSR
180075;2026-08-28;2028;Guest 4644;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180076;2026-08-12;1033;Guest 4652;ALC_ITL;A la Carte Italian;3;4500.00;TRY;P1012;POSTING;GSR
180039;2026-08-24;1096;Guest 8749;ALC_ITL;A la Carte Italian;4;6000.00;TRY;P1005;POSTING;GGR
180037;2026-08-08;377;Guest 1514;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1001;POSTING;GSR
180145;2026-08-04;151;Guest 5658;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1011;POSTING;GVR
180100;2026-08-25;1113;Guest 5543;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180172;2026-08-20;1211;Guest 2210;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P9999;POSTING;GGR
180044;2026-08-15;1124;Guest 2235;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1003;POSTING;GGR
180099;2026-08-29;752;Guest 8777;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180036;2026-08-19;1003;Guest 1117;ALC_TRK;A la Carte Turkish;2;2800.00;TRY;P1004;POSTING;GSR
180009;2026-08-18;612;Guest 7201;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1011;POSTING;GVR
180018;2026-08-07;1721;Guest 8517;ALC_ITL;A la Carte Italian;4;6000.00;TRY;P1006;POSTING;GVR
180102;2026-08-23;1271;Guest 4841;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180077;2026-08-13;1445;Guest 5564;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1002;POSTING;GSR
180025;2026-08-10;748;Guest 8433;ALC_TRK;A la Carte Turkish;4;5600.00;TRY;P1004;POSTING;GSR
180050;2026-08-10;992;Guest 1958;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1002;POSTING;GSR
180019;2026-08-05;1111;Guest 9830;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1003;POSTING;GGR
180116;2026-08-27;436;Guest 8705;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180059;2026-08-03;2303;Guest 4492;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180137;2026-08-10;1612;Guest 8753;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180061;2026-08-10;1895;Guest 9900;ALC_ITL;A la Carte Italian;2;3000.00;TRY;P1006;POSTING;GVR
180062;2026-08-22;525;Guest 3200;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1004;POSTING;GSR
180054;2026-08-22;1064;Guest 7615;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180035;2026-08-08;1021;Guest 2049;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
;2026-08-11;330;Guest 1177;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1001;POSTING;GSR
180066;2026-08-01;636;Guest 5291;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1004;POSTING;GSR
180038;2026-08-17;1241;Guest 8953;ALC_TRK;A la Carte Turkish;2;2800.00;TRY;P1004;POSTING;GSR
180092;2026-08-05;290;Guest 5011;ALC_ITL;A la Carte Italian;1;1500.00;TRY;P1005;POSTING;GGR
180064;2026-08-20;1505;Guest 4335;ALC_FSH;A la Carte Fish;2;3600.00;TRY;P1006;POSTING;GVR
180020;2026-08-29;1583;Guest 4593;ALC_FSH;A la Carte Fish;4;7200.00;TRY;P1012;POSTING;GSR
180107;2026-08-28;1659;Guest 8814;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180149;2026-08-26;2406;Guest 5978;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1002;POSTING;GSR
180016;2026-08-22;330;Guest 4752;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1005;POSTING;GGR
180060;2026-08-05;1530;Guest 2127;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1008;POSTING;GGR
180015;2026-08-06;1994;Guest 7216;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1007;POSTING;GSR
180108;2026-08-10;1698;Guest 7865;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1003;POSTING;GGR
180029;2026-08-20;1428;Guest 9005;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1007;POSTING;GSR
180012;2026-08-28;514;Guest 7227;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1002;POSTING;GSR
180134;2026-08-03;1089;Guest 7658;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1007;POSTING;GSR
180118;2026-08-25;228;Guest 5051;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1001;POSTING;GSR
180002;2026-08-24;2334;Guest 2424;ALC_ITL;A la Carte Italian;1;1500.00;TRY;P1005;POSTING;GGR
180071;2026-08-07;1123;Guest 2684;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1003;POSTING;GGR
180040;2026-08-04;498;Guest 8062;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180021;2026-08-03;293;Guest 2796;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1011;POSTING;GVR
180091;2026-08-03;1063;Guest 6085;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1008;POSTING;GGR
180031;2026-08-08;451;Guest 8962;ALC_ITL;A la Carte Italian;1;1500.00;TRY;P1004;POSTING;GSR
180156;2026-08-10;234;Guest 4792;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180078;2026-08-12;2187;Guest 7548;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1003;POSTING;GGR
180151;2026-08-25;2241;Guest 7232;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180129;2026-08-15;1885;Guest 5397;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1008;POSTING;GGR
180004;2026-08-17;2399;Guest 4257;ALC_ITL;A la Carte Italian;1;1500.00;TRY;P1005;POSTING;GGR
180032;2026-08-05;2047;Guest 3705;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1002;POSTING;GSR
180125;2026-08-03;2173;Guest 6590;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180113;2026-08-05;1992;Guest 3977;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1011;POSTING;GVR
180157;2026-08-23;392;Guest 4824;ALC_FSH;A la Carte Fish;4;7200.00;TRY;P1006;POSTING;GVR
180034;2026-08-22;1895;Guest 9479;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1012;POSTING;GSR
180151;2026-08-25;2241;Guest 7232;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180053;2026-08-28;862;Guest 2122;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1001;POSTING;GSR
180155;2026-08-06;111;Guest 7693;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1001;POSTING;GSR
180175;2026-08-10;1502;Guest 6090;PAV_STD;Pavillon Standart;1;6500.00;EUR;P1009;POSTING;GSR
180128;2026-08-24;2238;Guest 5425;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180093;2026-08-15;1798;Guest 4185;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180176;2026-08-14;455;Guest 8801;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1013;POSTING;GSR
180049;2026-08-14;2377;Guest 8973;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180014;2026-08-22;393;Guest 3803;ALC_TRK;A la Carte Turkish;3;4200.00;TRY;P1005;POSTING;GGR
180159;2026-08-27;683;Guest 2169;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1003;POSTING;GGR
180119;2026-08-20;1078;Guest 3068;ALC_ITL;A la Carte Italian;2;3000.00;TRY;P1004;POSTING;GSR
180139;2026-08-09;1130;Guest 4777;ALC_TRK;A la Carte Turkish;3;4200.00;TRY;P1012;POSTING;GSR
180001;2026-08-24;1227;Guest 5012;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1001;POSTING;GSR
180132;2026-08-06;2098;Guest 4475;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180104;2026-08-23;977;Guest 2052;ALC_ITL;A la Carte Italian;2;3000.00;TRY;P1012;POSTING;GSR
180030;2026-08-30;1587;Guest 6038;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1001;POSTING;GSR
180170;2026-08-15;318;Guest 4412;SPA_MSJ60;SPA Masaj 60dk;1;;TRY;P1002;POSTING;GSR
180065;2026-08-09;479;Guest 7939;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1012;POSTING;GSR
180081;2026-08-12;1385;Guest 8149;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1008;POSTING;GGR
180023;2026-08-20;2018;Guest 9669;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180117;2026-08-31;1534;Guest 4673;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1001;POSTING;GSR
180010;2026-08-27;1582;Guest 4150;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1003;POSTING;GGR
180141;2026-08-07;2084;Guest 5530;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1002;POSTING;GSR
180103;2026-08-11;667;Guest 3471;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1006;POSTING;GVR
180074;2026-08-09;753;Guest 2771;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180127;2026-08-21;1984;Guest 3506;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180106;2026-08-07;1821;Guest 7381;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180085;2026-08-17;1367;Guest 7691;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1003;POSTING;GGR
180042;2026-08-24;1490;Guest 2790;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1011;POSTING;GVR
180027;2026-08-27;2180;Guest 4258;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1003;POSTING;GGR
180083;2026-08-01;2230;Guest 9821;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1011;POSTING;GVR
180086;2026-08-23;2371;Guest 3085;ALC_TRK;A la Carte Turkish;3;4200.00;TRY;P1012;POSTING;GSR
180105;2026-08-11;2323;Guest 8633;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180090;2026-08-26;448;Guest 5649;ALC_ITL;A la Carte Italian;2;3000.00;TRY;P1012;POSTING;GSR
180007;2026-08-07;519;Guest 2519;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1005;POSTING;GGR
180024;2026-08-22;2300;Guest 5371;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1004;POSTING;GSR
180126;2026-08-27;2108;Guest 2729;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1011;POSTING;GVR
180163;2026-08-21;993;Guest 8619;PAV_VIP;Pavillon VIP;1;-12000.00;TRY;P1009;REVERSAL;GSR
180112;2026-08-30;1714;Guest 1444;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180150;2026-08-04;2386;Guest 7818;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1002;POSTING;GSR
180047;2026-08-28;1743;Guest 1960;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180072;2026-08-20;1070;Guest 3662;ALC_TRK;A la Carte Turkish;2;2800.00;TRY;P1012;POSTING;GSR
180114;2026-08-13;1441;Guest 4467;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1003;POSTING;GGR
180167;2026-08-16;1885;Guest 5397;BUG_DAY;Buggy Günlük;1;-4500.00;TRY;P1008;REVERSAL;GGR
180133;2026-08-11;1232;Guest 1166;ALC_TRK;A la Carte Turkish;3;4200.00;TRY;P1006;POSTING;GVR
180121;2026-08-06;771;Guest 6096;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1006;POSTING;GVR
180045;2026-08-02;2315;Guest 1241;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180011;2026-08-22;1034;Guest 5741;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1001;POSTING;GSR
180148;2026-08-16;404;Guest 1878;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1011;POSTING;GVR
180069;2026-08-19;2364;Guest 3426;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1003;POSTING;GGR
180173;2026-08-22;640;Guest 3350;GLF_LSN;Golf Dersi;1;3500.00;TRY;P1007;POSTING;GSR
